singletrial_fname	SIIPS	SIIPS_corr	SIIPS_cosine
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-007_cuetype-low.nii.gz	-3392.38782392108	-0.0931424422784522	-0.109961795585459
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-008_cuetype-low.nii.gz	512.546393631367	-0.044024798126275	0.00573255265307235
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-009_cuetype-high.nii.gz	-1646.00266440769	-0.0774218276656957	-0.067586244872505
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-010_cuetype-high.nii.gz	-540.978671018923	-0.0341949014519815	-0.0216724913645626
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-011_cuetype-high.nii.gz	449.122750830039	-0.0232459562068497	0.00876966104227862
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-000_cuetype-low.nii.gz	3690.11735600096	0.120831042761106	0.10621290809214
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-001_cuetype-low.nii.gz	-772.076491054889	-0.0556333754599956	-0.0390926806743658
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-002_cuetype-low.nii.gz	-2811.79650787881	-0.0196174312550547	-0.054329528952451
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-003_cuetype-high.nii.gz	494.858609529489	0.00835114340047141	0.0223987835528137
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-004_cuetype-high.nii.gz	1588.51419405446	0.0790235536968801	0.0784589351819035
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-005_cuetype-high.nii.gz	1343.60912886141	0.0749525140057012	0.0700267285651275
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-006_cuetype-high.nii.gz	596.420035143799	0.0200940740409328	0.0293214641296721
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-007_cuetype-low.nii.gz	756.991412506279	0.0120990954665411	0.032567741893223
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-008_cuetype-high.nii.gz	-643.715077427621	-0.0143425095360718	-0.0285421291105438
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-009_cuetype-low.nii.gz	-2174.98251364843	-0.112935630317069	-0.0974773102029082
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-high.nii.gz	2961.32644520408	0.117462782894422	0.10361282671884
sub-0018_ses-01_run-06_runtype-vicarious_event-cue_trial-011_cuetype-low.nii.gz	-2317.95702686349	-0.0331255991048688	-0.0630551563857573
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-000_cuetype-high.nii.gz	446.60796244683	0.041992320411984	0.00636394024854993
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-001_cuetype-low.nii.gz	-1203.26520043398	-0.075798923856079	-0.0640523002867496
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-002_cuetype-high.nii.gz	-170.724998592996	-0.0313384420665466	-0.0101680364567337
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-003_cuetype-low.nii.gz	-510.939810319677	-0.032460451173939	-0.0347558910594162
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-004_cuetype-high.nii.gz	-610.207230121227	-0.0209838863887493	-0.0392749002901145
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-005_cuetype-low.nii.gz	349.937189123088	-0.0381657915047413	0.0104143299911645
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-006_cuetype-low.nii.gz	1781.14911266601	0.0398772569621867	0.0706967945484649
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-007_cuetype-low.nii.gz	428.803230870649	-0.035994148649508	0.0128706270105056
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-008_cuetype-high.nii.gz	-1591.93988263838	-0.102618979097466	-0.100371598765845
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-009_cuetype-low.nii.gz	-407.43083365121	0.0222585966669309	-0.0161605898966254
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-010_cuetype-high.nii.gz	-2086.71217137003	-0.0727573595663821	-0.0921682652026874
sub-0019_ses-01_run-01_runtype-vicarious_event-cue_trial-011_cuetype-high.nii.gz	-282.503890816037	-0.0390210328731211	-0.0181981445726971
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-000_cuetype-high.nii.gz	140.875974629024	0.0181509393708501	0.00737045836712961
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-001_cuetype-low.nii.gz	-970.888181991507	-0.042488877314022	-0.056027827081106
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-002_cuetype-high.nii.gz	1925.23732303299	0.0792110573311772	0.0925911979071303
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-003_cuetype-low.nii.gz	-1102.93417901478	-0.0445387451353175	-0.0622327906556351
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-004_cuetype-high.nii.gz	-1439.65686152511	-0.0885139183870031	-0.0827852267710376
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-005_cuetype-high.nii.gz	514.778491263822	0.00525820102815303	0.0257762189872449
