sub,ses,run,run_type,meta,experiment_dur
sub-0013,ses-01,4,run-04-vicarious,sub-0013_ses-01_run-04-vicarious,398.847587823868
sub-0013,ses-01,1,run-01-cognitive,sub-0013_ses-01_run-01-cognitive,398.510904312134
sub-0013,ses-03,4,run-04-cognitive,sub-0013_ses-03_run-04-cognitive,398.1264116764071
sub-0013,ses-03,5,run-05-vicarious,sub-0013_ses-03_run-05-vicarious,398.6769781112671
sub-0013,ses-03,3,run-03-cognitive,sub-0013_ses-03_run-03-cognitive,398.82597398757895
sub-0013,ses-03,2,run-02-vicarious,sub-0013_ses-03_run-02-vicarious,398.447266578674
sub-0013,ses-03,6,run-06-pain,sub-0013_ses-03_run-06-pain,398.828571796417
sub-0013,ses-03,1,run-01-pain,sub-0013_ses-03_run-01-pain,399.031281471252
sub-0013,ses-04,4,run-04-vicarious,sub-0013_ses-04_run-04-vicarious,399.39033818244906
sub-0013,ses-04,1,run-01-cognitive,sub-0013_ses-04_run-01-cognitive,398.817464351654
sub-0013,ses-04,5,run-05-pain,sub-0013_ses-04_run-05-pain,398.908364295959
sub-0013,ses-04,2,run-02-pain,sub-0013_ses-04_run-02-pain,398.524929523468
sub-0013,ses-04,3,run-03-vicarious,sub-0013_ses-04_run-03-vicarious,398.644664049149
sub-0013,ses-04,6,run-06-cognitive,sub-0013_ses-04_run-06-cognitive,398.810983181
sub-0014,ses-01,5,run-05-cognitive,sub-0014_ses-01_run-05-cognitive,399.332994222641
sub-0014,ses-01,1,run-01-vicarious,sub-0014_ses-01_run-01-vicarious,398.825799703598
sub-0014,ses-01,6,run-06-vicarious,sub-0014_ses-01_run-06-vicarious,399.005325078964
sub-0014,ses-03,3,run-03-vicarious,sub-0014_ses-03_run-03-vicarious,398.53073573112505
sub-0014,ses-03,6,run-06-vicarious,sub-0014_ses-03_run-06-vicarious,399.040027856827
sub-0014,ses-03,2,run-02-cognitive,sub-0014_ses-03_run-02-cognitive,398.83128905296303
sub-0014,ses-03,1,run-01-pain,sub-0014_ses-03_run-01-pain,398.82223653793295
sub-0014,ses-03,4,run-04-cognitive,sub-0014_ses-03_run-04-cognitive,398.815379142761
sub-0014,ses-03,5,run-05-pain,sub-0014_ses-03_run-05-pain,398.829963684082
sub-0014,ses-04,6,run-06-cognitive,sub-0014_ses-04_run-06-cognitive,398.404436826706
sub-0014,ses-04,3,run-03-cognitive,sub-0014_ses-04_run-03-cognitive,398.807393074036
sub-0014,ses-04,1,run-01-vicarious,sub-0014_ses-04_run-01-vicarious,398.550907373428
sub-0014,ses-04,2,run-02-pain,sub-0014_ses-04_run-02-pain,398.810545921326
sub-0014,ses-04,4,run-04-pain,sub-0014_ses-04_run-04-pain,398.8152136802671
sub-0014,ses-04,5,run-05-vicarious,sub-0014_ses-04_run-05-vicarious,398.518052816391
sub-0015,ses-01,4,run-04-cognitive,sub-0015_ses-01_run-04-cognitive,398.534570217133
sub-0015,ses-01,6,run-06-vicarious,sub-0015_ses-01_run-06-vicarious,399.309913158417
sub-0015,ses-01,3,run-03-vicarious,sub-0015_ses-01_run-03-vicarious,399.119940757751
sub-0015,ses-01,2,run-02-cognitive,sub-0015_ses-01_run-02-cognitive,398.131749391556
sub-0015,ses-01,1,run-01-pain,sub-0015_ses-01_run-01-pain,398.837904453278
sub-0015,ses-01,5,run-05-pain,sub-0015_ses-01_run-05-pain,399.311693906784
sub-0016,ses-01,3,run-03-cognitive,sub-0016_ses-01_run-03-cognitive,399.01804137229897
sub-0016,ses-01,6,run-06-cognitive,sub-0016_ses-01_run-06-cognitive,399.117807149887
sub-0016,ses-01,5,run-05-vicarious,sub-0016_ses-01_run-05-vicarious,398.818785667419
sub-0016,ses-01,1,run-01-vicarious,sub-0016_ses-01_run-01-vicarious,399.035650253296
sub-0016,ses-01,4,run-04-pain,sub-0016_ses-01_run-04-pain,398.514951229095
sub-0016,ses-01,2,run-02-pain,sub-0016_ses-01_run-02-pain,398.123655796051
sub-0016,ses-03,3,run-03-pain,sub-0016_ses-03_run-03-pain,398.8766686916349
sub-0016,ses-03,1,run-01-cognitive,sub-0016_ses-03_run-01-cognitive,399.213684082031
sub-0016,ses-03,4,run-04-vicarious,sub-0016_ses-03_run-04-vicarious,399.023946285248
sub-0016,ses-03,5,run-05-cognitive,sub-0016_ses-03_run-05-cognitive,398.707913160324
sub-0016,ses-03,6,run-06-pain,sub-0016_ses-03_run-06-pain,398.812322854996
sub-0016,ses-03,2,run-02-vicarious,sub-0016_ses-03_run-02-vicarious,398.6211717128749
sub-0016,ses-04,4,run-04-pain,sub-0016_ses-04_run-04-pain,398.83707857132
sub-0016,ses-04,1,run-01-vicarious,sub-0016_ses-04_run-01-vicarious,398.534641742706
sub-0016,ses-04,5,run-05-cognitive,sub-0016_ses-04_run-05-cognitive,398.61275792121904
sub-0016,ses-04,6,run-06-vicarious,sub-0016_ses-04_run-06-vicarious,398.5146465301509
sub-0016,ses-04,2,run-02-cognitive,sub-0016_ses-04_run-02-cognitive,398.827435016632
sub-0017,ses-01,6,run-06-vicarious,sub-0017_ses-01_run-06-vicarious,399.018255710602
sub-0017,ses-01,2,run-02-cognitive,sub-0017_ses-01_run-02-cognitive,399.017733812332
sub-0017,ses-01,1,run-01-vicarious,sub-0017_ses-01_run-01-vicarious,399.039379835129
sub-0017,ses-01,5,run-05-cognitive,sub-0017_ses-01_run-05-cognitive,399.129985809326
sub-0017,ses-03,1,run-01-cognitive,sub-0017_ses-03_run-01-cognitive,398.735253810883
sub-0017,ses-03,4,run-04-vicarious,sub-0017_ses-03_run-04-vicarious,398.826199054718
sub-0017,ses-03,6,run-06-cognitive,sub-0017_ses-03_run-06-cognitive,399.24372959137
sub-0017,ses-03,3,run-03-vicarious,sub-0017_ses-03_run-03-vicarious,398.819557666779
sub-0017,ses-03,5,run-05-pain,sub-0017_ses-03_run-05-pain,399.021265268326
sub-0017,ses-03,2,run-02-pain,sub-0017_ses-03_run-02-pain,398.824955701828
sub-0017,ses-04,5,run-05-vicarious,sub-0017_ses-04_run-05-vicarious,398.839675188065
sub-0017,ses-04,4,run-04-cognitive,sub-0017_ses-04_run-04-cognitive,398.8355391025541
sub-0017,ses-04,2,run-02-vicarious,sub-0017_ses-04_run-02-vicarious,398.84855723381
sub-0017,ses-04,3,run-03-cognitive,sub-0017_ses-04_run-03-cognitive,398.6434602737429
sub-0017,ses-04,6,run-06-pain,sub-0017_ses-04_run-06-pain,398.5181798934941
sub-0017,ses-04,1,run-01-pain,sub-0017_ses-04_run-01-pain,398.6228816509249
sub-0018,ses-01,5,run-05-pain,sub-0018_ses-01_run-05-pain,399.125164031982
sub-0018,ses-01,2,run-02-cognitive,sub-0018_ses-01_run-02-cognitive,398.129998683929
sub-0018,ses-01,3,run-03-vicarious,sub-0018_ses-01_run-03-vicarious,398.71617937088
sub-0018,ses-01,6,run-06-vicarious,sub-0018_ses-01_run-06-vicarious,398.720996141434
sub-0018,ses-01,4,run-04-cognitive,sub-0018_ses-01_run-04-cognitive,398.511397838593
sub-0018,ses-01,1,run-01-pain,sub-0018_ses-01_run-01-pain,398.742128372192
sub-0018,ses-03,1,run-01-cognitive,sub-0018_ses-03_run-01-cognitive,399.036029815674
sub-0018,ses-03,4,run-04-vicarious,sub-0018_ses-03_run-04-vicarious,398.822871208191
sub-0018,ses-03,5,run-05-cognitive,sub-0018_ses-03_run-05-cognitive,398.873095989227
sub-0018,ses-03,6,run-06-pain,sub-0018_ses-03_run-06-pain,399.222569942474
sub-0018,ses-03,2,run-02-vicarious,sub-0018_ses-03_run-02-vicarious,398.8106551170349
sub-0018,ses-03,3,run-03-pain,sub-0018_ses-03_run-03-pain,398.835295200348
sub-0018,ses-04,1,run-01-vicarious,sub-0018_ses-04_run-01-vicarious,399.229015350342
sub-0018,ses-04,4,run-04-pain,sub-0018_ses-04_run-04-pain,398.63021683692887
sub-0018,ses-04,2,run-02-pain,sub-0018_ses-04_run-02-pain,399.034986495972
sub-0018,ses-04,5,run-05-vicarious,sub-0018_ses-04_run-05-vicarious,398.825398206711
sub-0018,ses-04,6,run-06-cognitive,sub-0018_ses-04_run-06-cognitive,398.613532543182
sub-0018,ses-04,3,run-03-cognitive,sub-0018_ses-04_run-03-cognitive,398.815811872482
sub-0019,ses-01,6,run-06-vicarious,sub-0019_ses-01_run-06-vicarious,398.818860769272
sub-0019,ses-01,2,run-02-cognitive,sub-0019_ses-01_run-02-cognitive,398.81570696830704
sub-0019,ses-01,1,run-01-vicarious,sub-0019_ses-01_run-01-vicarious,398.833611965179
sub-0019,ses-01,5,run-05-cognitive,sub-0019_ses-01_run-05-cognitive,398.51504445076006
sub-0019,ses-01,3,run-03-pain,sub-0019_ses-01_run-03-pain,398.108293056488
sub-0019,ses-01,4,run-04-pain,sub-0019_ses-01_run-04-pain,399.185162782669
sub-0019,ses-03,4,run-04-pain,sub-0019_ses-03_run-04-pain,399.027897834778
sub-0019,ses-03,5,run-05-vicarious,sub-0019_ses-03_run-05-vicarious,398.433749675751
sub-0019,ses-03,1,run-01-vicarious,sub-0019_ses-03_run-01-vicarious,398.643837928772
sub-0019,ses-03,3,run-03-cognitive,sub-0019_ses-03_run-03-cognitive,398.13802504539495
sub-0019,ses-03,6,run-06-cognitive,sub-0019_ses-03_run-06-cognitive,398.80512213707
sub-0019,ses-04,1,run-01-cognitive,sub-0019_ses-04_run-01-cognitive,398.832762002945
sub-0019,ses-04,4,run-04-vicarious,sub-0019_ses-04_run-04-vicarious,398.931154489517
sub-0019,ses-04,5,run-05-pain,sub-0019_ses-04_run-05-pain,398.907146215439
sub-0019,ses-04,2,run-02-pain,sub-0019_ses-04_run-02-pain,398.936567306519
sub-0019,ses-04,6,run-06-cognitive,sub-0019_ses-04_run-06-cognitive,398.82451415062
sub-0019,ses-04,3,run-03-vicarious,sub-0019_ses-04_run-03-vicarious,398.628310918808
sub-0020,ses-01,6,run-06-pain,sub-0020_ses-01_run-06-pain,398.132474422455
sub-0020,ses-01,1,run-01-pain,sub-0020_ses-01_run-01-pain,398.543953895569
sub-0020,ses-01,4,run-04-cognitive,sub-0020_ses-01_run-04-cognitive,399.035845041275
sub-0020,ses-01,5,run-05-vicarious,sub-0020_ses-01_run-05-vicarious,399.019919872284
sub-0020,ses-01,3,run-03-cognitive,sub-0020_ses-01_run-03-cognitive,399.332609891891
sub-0020,ses-01,2,run-02-vicarious,sub-0020_ses-01_run-02-vicarious,398.885429382324
