"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"117",592,592,20,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0009",6,3,6,"cognitive","stim",9,281.680200099945,5,1,"True","high_cue","low_stim",51.6624771065963,10.859503235322,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",12.3809663435335,0.0364588554465221,0.0330412294426015,"cognitive"
"118",593,593,21,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0010",6,3,6,"cognitive","stim",10,313.592100143433,5,1,"True","low_cue","med_stim",31.9081069356532,10.9029448317519,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-9.18674033986455,-0.0226281037711513,-0.0254810777555975,"cognitive"
"119",594,594,22,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0011",6,3,6,"cognitive","stim",11,352.189830064774,5,1,"True","low_cue","low_stim",32.029785156997,10.6337744921121,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",14.6611899229237,0.0382559017294714,0.0397110160051426,"cognitive"
"120",595,595,23,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0012",6,3,6,"cognitive","stim",12,387.386289834976,5,1,"True","high_cue","med_stim",77.9213462894872,27.7045999471476,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",1.46349418215066,0.00627330298502957,0.00406383119385981,"cognitive"
"121",740,740,12,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0001",6,4,3,"cognitive","stim",1,18.512179851532,5,1,"True","low_cue","high_stim",36.3648998459456,89.7698977049028,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",0.384987297592992,-0.00929469801240961,0.00107091622681659,"cognitive"
"122",741,741,13,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0002",6,4,3,"cognitive","stim",2,55.1925299167633,5,1,"True","high_cue","med_stim",85.2755483028291,123.371052005753,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",2.27311874179431,-0.00236495100741568,0.00629010906626546,"cognitive"
"123",742,742,14,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0003",6,4,3,"cognitive","stim",3,88.0047600269318,5,1,"True","low_cue","low_stim",19.529639414775,14.9910847217987,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",3.08698630639238,0.00260175093291194,0.00899030812475941,"cognitive"
"124",743,743,15,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0004",6,4,3,"cognitive","stim",4,114.197860002518,5,1,"True","low_cue","low_stim",8.09653716788845,54.6807988593851,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",8.41511732160076,0.0293735523230699,0.0247595941480161,"cognitive"
"125",744,744,16,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0005",6,4,3,"cognitive","stim",5,149.911180019379,5,1,"True","high_cue","low_stim",27.4075754378184,49.6804436182533,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-0.31277504069136,0.00301546035918137,-0.00092079365806394,"cognitive"
"126",745,745,17,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0006",6,4,3,"cognitive","stim",6,177.504809856415,5,1,"True","high_cue","med_stim",62.24145939894,41.250935477652,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",16.5627913108248,0.044241789333053,0.0457552408166142,"cognitive"
"127",746,746,18,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0007",6,4,3,"cognitive","stim",7,209.40002989769,5,1,"True","high_cue","low_stim",73.6518284526488,9.9546069435557,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",9.28693472137217,0.0244205500366935,0.0265847400227176,"cognitive"
