mean_PainL_Subj_N1,mean_PainL_Subj_N2,mean_PainL_Subj_N3,mean_PainH_Subj_N1,mean_PainH_Subj_N2,mean_PainH_Subj_N3
48.052916432283,48.5298532539102,49.0386828202881,48.9717919366302,49.4711386567628,49.9589017871108
48.1588901038172,48.6084565092554,49.1920614570033,48.8214348467152,49.3593977083897,49.8630851342543
48.2439299531008,48.7143339035531,49.3506150964988,48.694191243103,49.3227313415206,49.8684389958843
48.4896257180407,48.8859624199754,49.4915356013265,48.5470817928997,49.1598327176958,49.4596362478304
48.4123788514458,48.8229066572723,49.3186585554007,48.6869248340652,49.1685016295534,49.6405265299691
48.3998640387574,48.7029264296158,49.2052905000353,48.7515326617583,49.284543441284,49.5387584576284
48,48.55,49.1,48.9,49.45,50
48.5818989982487,48.8696884776782,49.4615980925094,48.6101171997706,49.1647915437747,49.5239611795487
48.4112001375652,48.8109163953818,49.3515634514682,48.6306876496595,49.2521236948039,49.7417140181546
48.2251105484461,48.7083142420244,49.3066312003051,48.6492837866676,49.2311849024046,49.6455174396741
48.1180616429257,48.6582052587397,49.2613552821151,48.7441420103139,49.3385904180104,49.8843887523927
48.6177338267969,48.9076033670931,49.5568442283775,48.5401954430879,49.1173346723517,49.4667836114554
48.488831622246,48.7629849977123,49.3697261306695,48.6104158844793,49.2148956668456,49.5749197315219
48.35870638368,48.7504608594451,49.2110124966642,48.7556223118296,49.2339989352444,49.6130764271443
48,48.5,49,49,49.5,50
48,48.5,49,49,49.5,50
48.0747408782889,48.6397035628424,49.2414338557182,48.7721271137344,49.3762170830208,49.9530586538774
48,48.5,49,49,49.5,50
48.7191416642031,48.9143307116791,49.4388912972913,48.5961758608925,49.0867125407692,49.3497723503144
48.3190202748598,48.7517708393706,49.3825159845381,48.5880583578388,49.1509971899796,49.5614305029344
48.3832552828359,48.8231597617739,49.3435176723739,48.6067184926363,49.1335689710555,49.4434094314252
48.2687740497812,48.6957783908953,49.2429292246699,48.7371515654653,49.3029836701053,49.6895484893058
48.1600313299235,48.5981385334394,49.0769365840256,48.930619987303,49.4321122578462,49.8819403678767
48.5233882839867,48.8776199050391,49.4304785611656,48.5593422837213,49.0596256739917,49.3460298251638
48.4729568933469,48.8229264949346,49.3200939322851,48.6634222731992,49.1688830679418,49.4968372232403
48.402243363881,48.7939180606494,49.4115901269758,48.5439314136202,49.1906892186767,49.6779358951984
48.2878732325108,48.6785794873718,49.2746711459195,48.6783266706059,49.1917887856503,49.6293460826816
48.5531301450421,48.9170314796655,49.3466212931174,48.5936499545941,49.0407531661088,49.4298815863082
48.4129784700604,48.7412140497213,49.2841189224826,48.7494698572782,49.2078101250492,49.6222965899067
48.7092347748908,49.0252999786199,49.5128835130961,48.589208197611,49.0990362928951,49.3094262092449
48.0843982337933,48.6036342169655,49.1381241278486,48.8403202666938,49.4057741367679,49.8955574925961
48.3163025518303,48.6830286883825,49.1880532009689,48.7673991632191,49.2307251988052,49.6246773940743
48,48.5,49,49,49.5,50
