bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0051_ses-03_task-shortvideo_acq-mb8_run-01_bold	0.001438165	0.0366627	0	46.62227272	1.263239017	0.979793866	0.516277485	3848.600586	0.233511118	60	3.658536585	2.650238415	2.407285124	3.000752389	2.542677733	0.0383064	-0.01804507	0.042413156	1640	82	82	56	5.448991374	0.460000008	2.682926893	2.682927132	2.700000048	6	15.55138763	67.54247284	242.9374847	67.30975342	241127	16.86908531	1127.963074	418.6199341	4.957338803	575.4476929	4203.409668	4250.835938	76785	2962.677393	5274.525391	780.1091919	27.99773788
sub-0051_ses-03_task-social_acq-mb8_run-01_bold	0.003274177	0.028253786	3	47.76164219	1.385901472	1.052175506	0.515928828	3869.474121	0.173080926	5	0.575373993	2.578779811	2.346415035	2.919017035	2.470907364	0.0202759	-0.019766215	0.036811765	869	82	82	56	5.674891341	0.460000008	2.682926893	2.682927132	2.700000048	3	16.34701901	63.37571335	235.1704865	65.72554016	240714	18.81933212	1102.045306	409.403595	5.594468398	548.5425415	4208.444824	4266.024414	76949	3028.057178	5218.171191	751.7318726	34.42970276
sub-0051_ses-03_task-social_acq-mb8_run-02_bold	0.004146583	0.02547577	0	48.80910872	1.395860729	1.103130564	0.516822582	3700.269287	0.203941119	25	2.866972477	2.552085246	2.328852126	2.887614765	2.439788846	0.0266672	-0.01994794	0.035858229	872	82	82	56	5.771297708	0.460000008	2.682926893	2.682927132	2.700000048	16	16.04340182	65.27700806	237.4891205	67.01146698	240868	18.68921852	1114.21546	412.2749634	5.245254269	549.8720703	4194.970215	4240.170898	76706	3048.352905	5203.5271	734.6949463	35.62211227
sub-0051_ses-03_task-social_acq-mb8_run-03_bold	0.001434126	0.024869218	2	47.080174	1.359604176	1.023491718	0.516509841	3770.921875	0.151582936	4	0.459770115	2.55052064	2.326410763	2.869362313	2.455788846	0.0219537	-0.019321367	0.036130533	870	82	82	56	5.758508095	0.460000008	2.682926893	2.682927132	2.700000048	7	16.20234547	63.96916962	239.0838623	66.60574341	241120	19.12413788	1129.280334	417.3068237	5.445207556	551.5859375	4202.51123	4252.056152	76583	3065.10603	5202.395508	738.390625	36.53684235
sub-0051_ses-03_task-social_acq-mb8_run-04_bold	0.002879024	0.031178204	1	48.47870469	1.325093319	1.018320501	0.517646085	3566.154785	0.23939956	30	3.444316877	2.594910203	2.361886944	2.932021488	2.490822178	0.0250756	-0.020111574	0.036394104	871	82	82	56	5.663469236	0.460000008	2.682926893	2.682927132	2.700000048	3	17.44302635	65.83877563	239.4383545	67.96957397	240950	19.17910385	1117.919714	413.1291504	5.291040665	542.4751587	4164.975098	4216.264648	76658	2969.485205	5174.823706	744.4619141	32.18540573
sub-0051_ses-03_task-social_acq-mb8_run-05_bold	0.001987245	0.029699039	1	47.34660458	1.327128652	1.013176792	0.517628421	3633.067139	0.176814241	14	1.607347876	2.597804302	2.363254853	2.928439579	2.501718474	0.0260413	-0.019830829	0.037838329	871	82	82	56	5.552315106	0.460000008	2.682926893	2.682927132	2.700000048	1	15.77199213	65.83196259	239.4492798	67.33294678	240775	18.51894379	1117.471179	411.7944641	5.230513065	561.9396973	4166.700684	4223.835938	76960	2964.727051	5191.177905	760.729248	32.27591324
sub-0051_ses-03_task-social_acq-mb8_run-06_bold	0.001792901	0.026422346	0	46.48345054	1.333547432	1.016051952	0.51765346	3652.899658	0.169046038	10	1.146788991	2.586930372	2.353884489	2.912106672	2.494799956	0.0250184	-0.0198041	0.036405891	872	82	82	56	5.551665937	0.460000008	2.682926893	2.682927132	2.700000048	7	15.88210153	64.88340759	240.9783783	67.21157837	240864	19.16169548	1133.673004	418.307312	5.329544765	568.0588989	4186.574219	4241.789063	76874	3000.735364	5218.650952	764.052002	34.05357361
sub-0052_ses-01_task-alignvideo_acq-mb8_run-02_bold	0.001129346	0.028168801	0	46.74989249	1.364252896	1.017031634	0.482868669	5983.391602	0.087466687	0	0	2.559974803	2.379845155	2.80297189	2.497107363	0.0133468	-0.011164826	0.033435114	1376	82	82	56	5.913876947	0.460000008	2.682926655	2.68292737	2.700000048	12	24.14990545	45.97252274	171.5552673	51.49636841	247472	16.2456398	741.1806305	332.4882813	5.676349451	487.5205994	3989.027588	4030.552979	71505	2918.357568	4926.501855	681.5368042	35.72390366
sub-0052_ses-01_task-alignvideo_acq-mb8_run-03_bold	0.000348176	0.025967259	2	45.95195049	1.336037062	0.971119931	0.480941306	6373.43457	0.088295436	0	0	2.557356971	2.384370064	2.789400892	2.498299956	0.0084962	-0.009233917	0.032066163	1014	82	82	56	5.984666215	0.460000008	2.682926655	2.68292737	2.700000048	0	25.48872212	43.39316559	166.2230988	49.43984222	247473	15.97731781	713.6550537	330.1455078	5.600638556	489.4252319	4015.67041	4057.199219	71491	2942.771729	4946.775635	677.9276733	37.61833954
sub-0052_ses-01_task-alignvideo_acq-mb8_run-04_bold	0.001472465	0.037886403	0	46.47586451	1.310402648	1.001623157	0.482236276	5760.835449	0.114957042	7	0.578990902	2.609301718	2.423808339	2.85260797	2.551488844	0.0145992	-0.00990709	0.033015367	1209	82	82	56	5.924012265	0.460000008	2.682926655	2.68292737	2.700000048	15	24.73810834	46.93681335	169.0736084	52.33250809	247397	16.24383774	714.0359009	329.1248779	5.716174241	485.5618286	3992.404541	4037.882568	71530	2910.815186	4920.139795	681.6080322	30.6191597
sub-0052_ses-01_task-social_acq-mb8_run-01_bold	0.001170011	0.022766229	0	46.67237595	1.410594852	1.014574277	0.479045211	6778.806152	0.085894095	1	0.114678899	2.547686244	2.381920822	2.793426842	2.467711068	0.00869515	-0.010294568	0.030193286	872	82	82	56	5.812136461	0.460000008	2.682927132	2.682926893	2.700000048	4	27.06730109	41.04189301	160.0361328	47.26605225	247268	15.64220142	692.4834442	323.9279175	5.760203746	474.750885	3994.692627	4042.126465	71666	2878.118774	4935.17334	695.458252	41.02794647
sub-0052_ses-01_task-social_acq-mb8_run-02_bold	0.001495901	0.028544108	1	46.3138885	1.355477999	0.992433471	0.475610386	9050.753906	0.09273634	0	0	2.563339015	2.388246004	2.812137751	2.489633289	0.0105142	-0.010032278	0.03113327	871	82	82	56	5.962369994	0.460000008	2.682927132	2.682926893	2.700000048	5	26.42633955	2.474975109	9.795098305	2.609643936	247483	0.617680788	43.54879379	20.34282494	5.528672856	30.03502464	249.2737579	251.8404083	71445	181.5510895	306.9159424	42.23801041	36.07108307
sub-0052_ses-01_task-social_acq-mb8_run-03_bold	0.001008101	0.034918597	3	46.700843	1.323972612	0.980111614	0.475292655	9322.431641	0.139886108	1	0.115074799	2.587290567	2.404191274	2.841150841	2.516529585	0.00967641	-0.008697921	0.02891944	869	82	82	56	5.934150815	0.460000008	2.682927132	2.682926893	2.700000048	8	27.37774263	2.395366669	9.508630753	2.527042627	247405	0.56869967	41.84326782	19.97060204	5.583430406	29.69299126	249.0724182	251.6467285	71543	181.6126587	306.730954	42.40623093	31.91547394
sub-0052_ses-01_task-social_acq-mb8_run-04_bold	0.001479083	0.029893343	0	47.21694461	1.363254441	1.020087371	0.478498409	6747.552734	0.124072419	1	0.114678899	2.592678065	2.415757	2.841225387	2.521051807	0.00946688	-0.007983079	0.031882364	872	82	82	56	5.834429226	0.460000008	2.682927132	2.682926893	2.700000048	1	26.80280178	41.40575027	159.2057037	47.63073349	247629	15.5084856	677.8135254	318.4429321	5.617087994	482.7723694	3980.141357	4025.353027	71613	2876.61499	4919.998535	689.9260864	34.37240219
sub-0052_ses-01_task-social_acq-mb8_run-05_bold	0.000786766	0.027289965	0	46.8638646	1.359774464	0.971192728	0.479231455	6552.255859	0.089988479	0	0	2.562785995	2.385152368	2.81350566	2.489699956	0.00692404	-0.009055549	0.031385724	872	82	82	56	5.923977773	0.460000008	2.682927132	2.682926893	2.700000048	1	27.16238755	42.78803253	163.533844	48.98394394	247653	16.1502285	700.3648926	326.3595581	5.566083243	482.620697	3995.875	4040.160156	71416	2896.387451	4926.618774	681.99646	37.22583008
