"subj","rand_intercept","rand_cue","rand_stimulus_linear","rand_stimulus_quad","rand_int_cue_stimlin","rand_int_cue_stimquad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad","task"
"50",-8.66194626683475,3.50075236399916,-0.398696941914706,-0.212142547427932,0.193973708268446,-0.793163745887733,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"36",-7.91918809302916,-0.445098848764123,0.276216592460814,-2.00553292203302,-2.09094139042464,-0.502714391746218,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"39",-7.61545040282692,2.1745939112687,-0.288992646191124,0.0422443165002496,-0.330046073480974,-1.04923737668208,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"81",-7.26985182549056,1.90571634482957,0.151202447617651,-1.17007379596411,-0.600167022407452,-0.214344394955656,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"95",-7.2605427614755,4.52269750697598,-0.57207854960258,-0.985796339122393,1.06769048492325,0.117460953186609,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"100",-5.98606573218446,1.94742054365002,-0.736850953692199,-1.02176468721855,-0.00912988390341943,-0.406143124767638,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"44",-5.46663983758503,1.96052240492973,-0.0522270712805081,-0.699243496547453,-0.10266094943282,-0.180655162546068,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"71",-5.46089031062045,4.86501814924133,-0.304764629426756,-0.333041050857954,1.57423165512307,0.334416618644447,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"18",-5.3762417379109,5.66812385493863,-1.02622230710149,-0.432101303243552,2.26021519418914,0.323184296034478,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"86",-4.73826553221992,-1.18323704480221,-0.157577882257185,-0.742370216562483,-1.62317233078532,-0.94412683580098,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"43",-3.83607280549845,2.41637048164208,0.57091419536147,-1.3993253338675,0.254277573113066,0.916348387787299,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"66",-3.83449313197118,2.49147168108785,-1.96637693613377,-0.912664394557252,1.14798016492336,-0.408097363799426,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"21",-3.05034877043338,3.86517619289776,-1.20316443904745,-0.53757779941538,1.8255858941018,0.259104531295802,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"103",-2.33019322103077,0.546268781369042,-0.479319718925243,-0.301374915740279,-0.0512792397745611,-0.352019057136298,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"51",-2.27985389000908,-3.34256044374751,-0.848785828630967,0.821490620483641,-1.98205942068091,-2.20242042213589,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"73",-2.0464206327915,3.8287090567837,-1.10941963022602,0.0935379505114388,2.01445775530805,0.148318596177336,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"98",-1.7190731995491,-0.996129238941324,1.50802729108543,-0.257407552478396,-1.40900111578278,0.15947670175556,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
